Type,Name,Address,Rating,Review Count,Telephone,Opening Hours,Country,Timezone,Valid
LocalBusiness,Whisper AI Inc.,260 8th Street,,,(855) 594-4773,,,"('America/Adak', 'America/Anchorage', 'America/Anguilla', 'America/Antigua', 'America/Barbados', 'America/Boise', 'America/Cayman', 'America/Chicago', 'America/Denver', 'America/Dominica', 'America/Edmonton', 'America/Fort_Nelson', 'America/Grand_Turk', 'America/Grenada', 'America/Halifax', 'America/Jamaica', 'America/Juneau', 'America/Los_Angeles', 'America/Lower_Princes', 'America/Montserrat', 'America/Nassau', 'America/New_York', 'America/North_Dakota/Center', 'America/Phoenix', 'America/Port_of_Spain', 'America/Puerto_Rico', 'America/Regina', 'America/Santo_Domingo', 'America/St_Johns', 'America/St_Kitts', 'America/St_Lucia', 'America/St_Thomas', 'America/St_Vincent', 'America/Toronto', 'America/Tortola', 'America/Vancouver', 'America/Winnipeg', 'Atlantic/Bermuda', 'Pacific/Guam', 'Pacific/Honolulu', 'Pacific/Pago_Pago', 'Pacific/Saipan')",True
LocalBusiness,Kintsugi AI,156 2nd St,,,(415) 840-8847,['Mo-Fr'],California,"('America/Los_Angeles',)",True
LocalBusiness,Everett Ai MD,2100 Webster St Ste 214,,,(415) 923-3007,,"San Francisco, CA","('America/Los_Angeles',)",True
LocalBusiness,Modality Ai Inc,149 New Montgomery St,,,(415) 200-8535,,California,"('America/Los_Angeles',)",True
LocalBusiness,Presence Ai,121 2nd St,,,(415) 855-7379,['Mo-Su'],California,"('America/Los_Angeles',)",True
LocalBusiness,"Ai Chien, MD",Castro & Duboce Streets South Tower  Suite 160-A,,,(415) 600-5200,,"San Francisco, CA","('America/Los_Angeles',)",True
LocalBusiness,Ai Beaute Skin Spa,1149 Powell St,,,(415) 872-9677,"['Mo-Tu 09:00-18:00', 'Th-Su 09:00-18:00']",California,"('America/Los_Angeles',)",True
LocalBusiness,Arrow AI,44 Tehama St,,,(510) 299-2114,,California,"('America/Los_Angeles',)",True
LocalBusiness,Ocentiv AI,180 Steuart St,,,(844) 469-9501,,,"('America/Adak', 'America/Anchorage', 'America/Anguilla', 'America/Antigua', 'America/Barbados', 'America/Boise', 'America/Cayman', 'America/Chicago', 'America/Denver', 'America/Dominica', 'America/Edmonton', 'America/Fort_Nelson', 'America/Grand_Turk', 'America/Grenada', 'America/Halifax', 'America/Jamaica', 'America/Juneau', 'America/Los_Angeles', 'America/Lower_Princes', 'America/Montserrat', 'America/Nassau', 'America/New_York', 'America/North_Dakota/Center', 'America/Phoenix', 'America/Port_of_Spain', 'America/Puerto_Rico', 'America/Regina', 'America/Santo_Domingo', 'America/St_Johns', 'America/St_Kitts', 'America/St_Lucia', 'America/St_Thomas', 'America/St_Vincent', 'America/Toronto', 'America/Tortola', 'America/Vancouver', 'America/Winnipeg', 'Atlantic/Bermuda', 'Pacific/Guam', 'Pacific/Honolulu', 'Pacific/Pago_Pago', 'Pacific/Saipan')",True
LocalBusiness,Sweep Ai Inc,2660 3rd St,,,(347) 839-1978,,New York,"('America/New_York',)",True
